Ciclo,Hum Suelo (),Temp Suelo (C)
815,66,25.625
816,66,25.562
817,67,25.625
818,67,25.625
819,67,25.625
820,67,25.625
821,67,25.625
822,67,25.625
823,67,25.625
824,67,25.625
825,67,25.625
826,67,25.625
827,67,25.625
828,68,25.625
829,68,25.625
830,68,25.625
831,68,25.625
832,68,25.625
833,68,25.625
834,68,25.625
835,68,25.688
836,68,25.688
837,68,25.688
838,68,25.688
839,68,25.688
840,68,25.688
841,69,25.688
842,68,25.688
843,69,25.688
844,69,25.688
845,69,25.688
846,69,25.688
847,68,25.688
848,69,25.688
849,69,25.750
850,69,25.688
851,69,25.688
852,69,25.750
853,69,25.750
854,69,25.750
855,69,25.750
856,69,25.750
857,69,25.750
858,69,25.750
859,69,25.750
860,69,25.750
861,69,25.750
862,69,25.812
863,69,25.812
864,69,25.750
865,69,25.812
866,69,25.750
867,69,25.750
868,69,25.750
869,70,25.750
870,70,25.750
871,70,25.750
872,69,25.812
873,70,25.750
874,69,25.750
875,69,25.812
876,69,25.812
877,69,25.750
878,70,25.812
879,70,25.812
880,69,25.812
881,70,25.812
882,70,25.812
883,70,25.812
884,70,25.812
885,70,25.812
886,70,25.812
887,70,25.812
888,70,25.812
889,70,25.750
890,70,25.750
891,70,25.750
892,70,25.750
893,70,25.750
894,70,25.750
895,70,25.750
896,70,25.688
897,71,25.688
898,71,25.688
899,71,25.688
900,71,25.688
901,71,25.688
902,71,25.688
903,71,25.688
904,71,25.625
905,71,25.625
906,71,25.625
907,71,25.625
908,71,25.625
909,71,25.562
910,71,25.562
911,71,25.562
912,71,25.562
913,71,25.562
914,71,25.562
915,71,25.500
916,71,25.500
917,71,25.500
918,71,25.500
919,70,25.500
920,70,25.500
921,70,25.438
922,70,25.438
923,70,25.438
924,70,25.438
925,70,25.438
926,70,25.438
927,70,25.375
928,70,25.375
929,70,25.375
930,70,25.375
931,70,25.312
932,70,25.312
933,70,25.312
934,70,25.312
935,70,25.312
936,70,25.250
937,70,25.250
938,70,25.188
939,70,25.188
940,70,25.188
941,70,25.125
942,70,25.125
943,70,25.125
944,70,25.125
945,70,25.062
946,70,25.062
947,70,25.062
948,70,25.062
949,70,25.000
950,70,24.938
951,70,24.938
952,70,24.938
953,70,24.875
954,70,24.875
955,70,24.875
956,70,24.812
957,70,24.812
958,70,24.812
959,70,24.750
960,70,24.750
961,70,24.750
962,70,24.750
963,70,24.688
964,70,24.688
965,70,24.625
966,70,24.625
967,70,24.625
968,70,24.562
969,70,24.562
970,70,24.562
971,70,24.500
972,70,24.500
973,70,24.500
974,70,24.500
975,70,24.438
976,70,24.438
977,70,24.375
978,70,24.375
979,70,24.375
980,70,24.312
981,70,24.312
982,70,24.312
983,70,24.250
984,70,24.250
985,70,24.188
986,70,24.188
987,70,24.188
988,70,24.125
989,70,24.125
990,70,24.125
991,70,24.062
992,70,24.062
993,70,24.000
994,70,24.000
995,70,24.000
996,70,23.938
997,70,23.938
998,70,23.875
999,70,23.938
1000,70,23.875
1001,70,23.875
1002,66,23.812
1003,56,22.688
1004,52,22.938
1005,52,23.062
1006,53,23.125
1007,52,23.188
1008,52,23.250
1009,62,23.312
1010,63,23.188
1011,45,23.188
1012,45,23.188
1013,45,22.812
1014,45,22.875
1015,46,22.875
1016,45,22.938
1017,45,22.938
1018,45,22.938
1019,54,22.938
1020,50,22.938
1021,48,22.938
1022,47,22.875
1023,43,22.875
1024,43,22.812
1025,43,22.812
1026,43,22.750
1027,43,22.750
1028,43,22.750
1029,42,22.750
1030,42,22.750
1031,41,22.750
1032,41,22.750
1033,41,22.812
1034,40,22.812
1035,40,22.812
1036,40,22.812
1037,40,22.812
1038,39,22.812
1039,39,22.875
1040,39,22.875
1041,39,22.938
1042,39,22.938
1043,38,22.938
1044,38,22.938
1045,38,23.000
1046,38,23.000
1047,38,23.000
1048,38,23.000
1049,37,23.000
1050,38,23.000
1051,37,23.000
1052,37,23.062
1053,37,23.062
1054,37,23.062
1055,37,23.062
1056,37,23.062
1057,37,23.062
1058,37,23.062
1059,37,23.062
1060,38,23.062
1061,37,23.062
1062,37,23.125
1063,37,23.062
1064,37,23.062
1065,37,23.062
1066,37,23.125
1067,37,23.125
1068,37,23.125
1069,37,23.125
1070,37,23.125
1071,37,23.188
1072,37,23.125
1073,37,23.125
1074,37,23.188
1075,37,23.125
1076,37,23.188
1077,37,23.188
1078,37,23.188
1079,37,23.188
1080,37,23.188
1081,37,23.188
1082,37,23.188
1083,37,23.188
1084,37,23.250
1085,37,23.188
1086,37,23.250
1087,37,23.250
1088,37,23.312
1089,37,23.250
1090,36,23.312
1091,36,23.312
1092,37,23.312
1093,37,23.312
1094,37,23.375
1095,37,23.375
1096,37,23.375
1097,37,23.438
1098,36,23.438
1099,36,23.438
1100,37,23.438
1101,36,23.500
1102,37,23.500
1103,37,23.562
1104,36,23.562
1105,36,23.562
1106,36,23.625
1107,36,23.625
1108,37,23.625
1109,36,23.688
1110,37,23.688
1111,37,23.688
1112,37,23.688
1113,37,23.688
1114,37,23.625
1115,37,23.625
1116,37,23.625
1117,38,23.625
1118,38,23.562
1119,38,23.562
1120,39,23.562
1121,39,23.562
1122,39,23.500
1123,39,23.500
1124,39,23.500
1125,39,23.500
1126,39,23.500
1127,40,23.438
1128,40,23.500
1129,41,23.438
1130,41,23.438
1131,41,23.438
1132,41,23.500
1133,41,23.438
1134,41,23.438
1135,41,23.438
1136,41,23.438
1137,41,23.438
1138,41,23.500
1139,41,23.500
1140,42,23.500
1141,42,23.500
1142,41,23.500
1143,42,23.500
1144,42,23.500
1145,42,23.562
1146,42,23.562
1147,42,23.562
1148,42,23.562
1149,43,23.562
1150,43,23.562
1151,43,23.562
1152,43,23.562
1153,43,23.562
1154,43,23.562
1155,43,23.625
1156,43,23.562
1157,44,23.625
1158,44,23.625
1159,44,23.625
1160,44,23.562
1161,44,23.625
1162,44,23.625
1163,44,23.625
1164,44,23.625
1165,44,23.625
1166,44,23.625
1167,44,23.625
1168,45,23.688
1169,45,23.625
1170,45,23.688
1171,44,23.688
1172,45,23.688
1173,44,23.688
1174,45,23.688
1175,45,23.688
1176,44,23.688
1177,45,23.688
1178,45,23.688
1179,45,23.750
1180,45,23.750
1181,45,23.688
1182,45,23.688
1183,45,23.750
1184,45,23.750
1185,45,23.688
1186,45,23.750
1187,45,23.688
1188,45,23.750
1189,45,23.688
1190,45,23.688
1191,45,23.750
1192,45,23.750
1193,45,23.688
1194,45,23.750
1195,45,23.688
1196,45,23.688
1197,46,23.750
1198,45,23.688
1199,45,23.750
1200,45,23.688
1201,46,23.688
1202,45,23.688
1203,45,23.688
1204,46,23.688
1205,45,23.688
1206,45,23.688
1207,45,23.688
1208,46,23.688
1209,46,23.688
1210,45,23.625
1211,46,23.625
1212,45,23.625
1213,45,23.625
1214,46,23.562
1215,45,23.562
1216,46,23.562
1217,46,23.625
1218,46,23.562
1219,45,23.562
1220,46,23.562
1221,45,23.562
1222,46,23.500
1223,46,23.500
1224,46,23.500
1225,46,23.500
1226,46,23.438
1227,46,23.438
1228,46,23.438
1229,46,23.438
1230,46,23.438
1231,46,23.438
1232,46,23.375
1233,46,23.375
1234,46,23.375
1235,46,23.375
1236,46,23.375
1237,46,23.312
1238,46,23.312
1239,46,23.312
1240,46,23.312
1241,47,23.312
1242,46,23.250
1243,46,23.250
1244,46,23.250
1245,46,23.250
1246,46,23.250
1247,46,23.188
1248,46,23.188
1249,46,23.188
1250,46,23.125
1251,46,23.125
1252,46,23.125
1253,46,23.125
1254,46,23.125
1255,46,23.062
1256,46,23.062
1257,46,23.062
1258,47,23.062
1259,46,23.000
1260,46,23.000
1261,46,23.000
1262,46,23.000
1263,47,23.000
1264,46,22.938
1265,46,22.875
1266,46,22.938
1267,46,22.875
1268,47,22.875
1269,46,22.812
1270,47,22.812
1271,47,22.750
1272,47,22.812
1273,47,22.750
1274,47,22.750
1275,47,22.750
1276,47,22.688
1277,47,22.688
1278,47,22.625
1279,47,22.625
1280,47,22.625
1281,47,22.562
1282,47,22.562
1283,47,22.562
1284,48,22.562
1285,47,22.500
1286,47,22.500
1287,47,22.500
1288,47,22.438
1289,47,22.438
1290,47,22.438
1291,48,22.375
1292,47,22.375
1293,47,22.375
1294,47,22.312
1295,47,22.312
1296,47,22.312
1297,48,22.312
1298,47,22.250
1299,47,22.250
1300,48,22.250
1301,47,22.250
1302,47,22.188
1303,47,22.188
1304,47,22.188
1305,48,22.188
1306,47,22.125
1307,47,22.125
1308,47,22.125
1309,47,22.062
1310,47,22.062
1311,47,22.062
1312,47,22.062
1313,47,22.062
1314,47,22.000
1315,47,22.000
1316,47,22.000
1317,47,22.000
1318,47,21.938
1319,47,21.938
1320,47,21.938
1321,47,21.875
1322,47,21.875
1323,47,21.875
1324,47,21.875
1325,47,21.812
1326,47,21.812
1327,47,21.812
1328,47,21.750
1329,47,21.750
1330,47,21.750
1331,47,21.750
1332,47,21.750
1333,47,21.688
1334,47,21.688
1335,47,21.688
1336,47,21.625
1337,47,21.625
1338,47,21.625
1339,47,21.562
1340,47,21.562
1341,47,21.500
1342,47,21.500
1343,47,21.500
1344,47,21.500
1345,47,21.500
1346,47,21.438
1347,47,21.438
1348,47,21.438
1349,47,21.438
1350,47,21.375
1351,47,21.375
1352,47,21.375
1353,47,21.375
1354,47,21.375
1355,47,21.312
1356,47,21.312
1357,47,21.312
1358,47,21.250
1359,47,21.250
1360,47,21.250
1361,47,21.188
1362,47,21.188
1363,47,21.188
1364,47,21.188
1365,47,21.125
1366,47,21.125
1367,47,21.062
1368,47,21.062
1369,47,21.062
1370,47,21.000
1371,47,21.000
1372,47,21.000
1373,47,20.938
1374,47,20.938
1375,47,20.938
1376,47,20.938
1377,47,20.875
1378,47,20.875
1379,47,20.875
1380,47,20.812
1381,47,20.812
1382,47,20.812
1383,48,20.812
1384,47,20.750
1385,48,20.750
1386,47,20.750
1387,47,20.688
1388,48,20.688
1389,48,20.688
1390,47,20.625
1391,47,20.625
1392,48,20.625
1393,47,20.625
1394,47,20.562
1395,47,20.562
1396,48,20.500
1397,47,20.500
1398,47,20.500
1399,48,20.438
1400,47,20.438
1401,48,20.438
1402,48,20.438
1403,48,20.375
1404,47,20.375
1405,47,20.375
1406,47,20.375
1407,48,20.312
1408,48,20.312
1409,48,20.312
1410,48,20.312
1411,47,20.250
1412,48,20.250
1413,48,20.188
1414,48,20.188
1415,47,20.188
1416,48,20.125
1417,48,20.125
1418,48,20.125
1419,48,20.125
1420,48,20.125
1421,48,20.062
1422,48,20.062
1423,48,20.000
1424,48,20.000
1425,48,20.000
1426,48,20.000
1427,48,20.000
1428,47,19.938
1429,48,19.938
1430,48,19.938
1431,47,19.938
1432,48,19.875
1433,48,19.875
1434,48,19.875
1435,48,19.875
1436,48,19.875
1437,48,19.812
1438,48,19.875
1439,48,19.812
1440,48,19.812
1441,48,19.812
1442,47,19.750
1443,48,19.750
1444,48,19.750
1445,48,19.688
1446,48,19.688
1447,48,19.688
1448,47,19.688
1449,47,19.688
1450,47,19.625
1451,47,19.625
1452,48,19.625
1453,47,19.625
1454,48,19.625
1455,48,19.562
1456,48,19.562
1457,48,19.562
1458,47,19.500
1459,47,19.500
1460,47,19.500
1461,48,19.500
1462,47,19.438
1463,47,19.438
1464,48,19.438
1465,47,19.438
1466,48,19.375
1467,48,19.375
1468,48,19.375
1469,47,19.375
1470,47,19.312
1471,47,19.312
1472,47,19.312
1473,47,19.312
1474,48,19.250
1475,48,19.250
1476,48,19.250
1477,47,19.250
1478,48,19.188
1479,47,19.188
1480,47,19.188
1481,48,19.188
1482,47,19.188
1483,47,19.125
1484,48,19.125
1485,48,19.125
1486,47,19.125
1487,48,19.125
1488,47,19.125
1489,47,19.062
1490,47,19.062
1491,47,19.062
1492,47,19.062
1493,48,19.062
1494,48,19.000
1495,47,19.000
1496,48,19.000
1497,47,18.938
1498,47,18.938
1499,47,18.938
1500,47,18.938
1501,47,18.938
1502,47,18.875
1503,47,18.875
1504,47,18.875
1505,48,18.875
1506,47,18.875
